2026-08-12T09:32:05-05:00	cost_ns3_ad_jvp	OK	ROF_NS=3 ROF_NC=64 ROF_THETA=vec ROF_JAC=ad ROF_MODE=jvp
2026-08-12T09:32:48-05:00	cost_ns3_fd_out	OK	ROF_NS=3 ROF_NC=64 ROF_THETA=vec ROF_JAC=fd ROF_MODE=out
2026-08-12T09:33:23-05:00	ns3_dyngather2	OK	ROF_NS=3 ROF_NC=5 ROF_THETA=vec ROF_JAC=ad ROF_MODE=vjp ROF_EXTRA=dyngather
2026-08-12T09:33:40-05:00	cost_ns3_fd_jvp	OK	ROF_NS=3 ROF_NC=64 ROF_THETA=vec ROF_JAC=fd ROF_MODE=jvp
2026-08-12T09:33:43-05:00	bisect6	OK	ROF_NS=13 ROF_NC=5 ROF_THETA=vec ROF_JAC=ad ROF_MODE=vjp ROF_EXCL=concat_broadcast_slice
2026-08-12T09:34:34-05:00	cost_ns6_ad_out	OK	ROF_NS=6 ROF_NC=64 ROF_THETA=vec ROF_JAC=ad ROF_MODE=out
2026-08-12T09:35:04-05:00	ns3_nopatch	OK	ROF_NS=3 ROF_NC=5 ROF_THETA=vec ROF_JAC=ad ROF_MODE=vjp ROF_PATCH=0
2026-08-12T09:35:27-05:00	cost_ns6_ad_jvp	OK	ROF_NS=6 ROF_NC=64 ROF_THETA=vec ROF_JAC=ad ROF_MODE=jvp
2026-08-12T09:36:06-05:00	ns13_only_cbs	OK	ROF_NS=13 ROF_NC=5 ROF_THETA=vec ROF_JAC=ad ROF_MODE=vjp ROF_EXCL=concat_broadcast_slice
2026-08-12T09:36:12-05:00	cost_ns6_fd_out	OK	ROF_NS=6 ROF_NC=64 ROF_THETA=vec ROF_JAC=fd ROF_MODE=out
2026-08-12T09:36:21-05:00	ns3_nopatch_allextra	OK	ROF_NS=3 ROF_NC=5 ROF_THETA=nt ROF_JAC=ad ROF_MODE=vjp ROF_PATCH=0 ROF_EXTRA=log10,floor,sumreduce,cast,scatter,gather,select,pow,dyngather,traceif
2026-08-12T09:37:06-05:00	cost_ns6_fd_jvp	OK	ROF_NS=6 ROF_NC=64 ROF_THETA=vec ROF_JAC=fd ROF_MODE=jvp
2026-08-12T09:38:36-05:00	cost_ns9_ad_out	OK	ROF_NS=9 ROF_NC=64 ROF_THETA=vec ROF_JAC=ad ROF_MODE=out
2026-08-12T09:39:33-05:00	cost_ns9_ad_jvp	OK	ROF_NS=9 ROF_NC=64 ROF_THETA=vec ROF_JAC=ad ROF_MODE=jvp
2026-08-12T09:40:25-05:00	cost_ns9_fd_out	OK	ROF_NS=9 ROF_NC=64 ROF_THETA=vec ROF_JAC=fd ROF_MODE=out
2026-08-12T09:41:19-05:00	cost_ns9_fd_jvp	OK	ROF_NS=9 ROF_NC=64 ROF_THETA=vec ROF_JAC=fd ROF_MODE=jvp
2026-08-12T09:42:14-05:00	cost_ns13_ad_out	OK	ROF_NS=13 ROF_NC=64 ROF_THETA=vec ROF_JAC=ad ROF_MODE=out
2026-08-12T09:43:16-05:00	ns13_nc288	OK	ROF_NS=13 ROF_NC=288 ROF_THETA=nt ROF_JAC=ad ROF_MODE=vjp ROF_EXCL=concat_broadcast_slice
2026-08-12T09:43:44-05:00	cost_ns13_ad_jvp	OK	ROF_NS=13 ROF_NC=64 ROF_THETA=vec ROF_JAC=ad ROF_MODE=jvp
2026-08-12T09:44:43-05:00	cost_ns13_fd_out	OK	ROF_NS=13 ROF_NC=64 ROF_THETA=vec ROF_JAC=fd ROF_MODE=out
2026-08-12T09:46:09-05:00	cost_ns13_fd_jvp	OK	ROF_NS=13 ROF_NC=64 ROF_THETA=vec ROF_JAC=fd ROF_MODE=jvp
